,PlayerName,Position,assistTackles,avgInterceptionYards,avgSackYards,avgStuffYards,blockedFieldGoalTouchdowns,blockedPuntTouchdowns,hurries,kicksBlocked,longInterception,miscTouchdowns,passesBattedDown,passesDefended,QBHits,twoPtReturns,sacks,sackYards,safeties,soloTackles,stuffs,stuffYards,tacklesForLoss,tacklesYardsLost,teamGamesPlayed,totalTackles,yardsAllowed,pointsAllowed
0,Foyesade Oluokun,LB,0.0,6.0,1.7000000476837158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,2.0,12.0,0.0,128.0,18.5,17.0,12.0,26.0,17.0,184.0,0.0,0.0,0.0
1,Nick Bolton,LB,7.5,9.5,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,0.0,2.0,19.0,0.0,108.0,12.0,12.0,9.0,22.0,17.0,180.0,0.0,0.0,0.0
2,Roquan Smith,LB,13.666999816894531,5.0,1.8569999933242798,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,0.0,4.5,22.5,0.0,103.0,18.5,13.0,11.0,29.0,17.0,169.0,0.0,0.0,0.0
3,Zaire Franklin,LB,0.0,5.833000183105469,1.899999976158142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,3.0,17.5,0.0,102.0,14.5,19.0,12.0,24.0,17.0,167.0,0.0,0.0,0.0
4,Alex Singleton,LB,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,100.0,7.5,12.0,6.0,10.0,17.0,163.0,0.0,0.0,0.0
5,Jordyn Brooks,LB,0.0,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,10.0,0.0,103.0,8.0,5.0,3.0,15.0,17.0,161.0,0.0,0.0,0.0
6,T.J. Edwards,LB,0.0,1.5,2.555999994277954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,2.0,3.0,0.0,99.0,6.5,23.0,10.0,21.0,17.0,159.0,0.0,0.0,0.0
7,Rashaan Evans,LB,0.0,8.5,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,17.0,0.0,86.0,8.0,13.0,6.0,30.0,17.0,159.0,0.0,0.0,0.0
8,C.J. Mosley,LB,0.0,0.0,2.4000000953674316,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,99.0,9.5,12.0,5.0,5.0,17.0,158.0,0.0,0.0,0.0
9,Bobby Okereke,LB,0.0,0.0,2.6670000553131104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,99.0,12.5,16.0,6.0,15.0,17.0,151.0,0.0,0.0,0.0
10,Jalen Pitre,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
11,Drue Tranquill,LB,20.0,5.400000095367432,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,8.0,0.0,5.0,27.0,0.0,95.0,12.5,9.0,10.0,34.0,17.0,146.0,0.0,0.0,0.0
12,Bobby Wagner,LB,6.5,5.333000183105469,1.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,10.0,0.0,6.0,32.0,0.0,81.0,16.5,5.0,10.0,36.0,17.0,140.0,0.0,0.0,0.0
13,Eric Kendricks,LB,0.0,8.0,2.6670000553131104,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,1.0,8.0,0.0,87.0,11.0,16.0,8.0,14.0,17.0,137.0,0.0,0.0,0.0
14,Cody Barton,LB,5.5,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,2.0,8.0,0.0,84.0,6.5,6.0,4.0,12.0,17.0,136.0,0.0,0.0,0.0
15,Shaq Thompson,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
16,Fred Warner,LB,20.0,7.25,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,6.0,0.0,2.0,14.5,0.0,79.0,8.0,4.0,3.0,24.0,17.0,130.0,0.0,0.0,0.0
17,Jordan Hicks,LB,19.0,3.6670000553131104,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,4.0,0.0,3.0,11.0,0.0,86.0,8.0,3.0,2.0,2.0,17.0,129.0,0.0,0.0,0.0
18,Josey Jewell,LB,10.5,11.199999809265137,3.200000047683716,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,2.5,28.0,0.0,70.0,9.5,16.0,7.0,35.0,17.0,128.0,0.0,0.0,0.0
19,Dre Greenlaw,LB,0.0,0.0,2.3329999446868896,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,82.0,9.0,7.0,3.0,7.0,17.0,127.0,0.0,0.0,0.0
20,Alex Anzalone,LB,4.0,9.666999816894531,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,0.0,1.5,14.5,0.0,77.0,9.5,12.0,7.0,16.0,17.0,125.0,0.0,0.0,0.0
21,Ja'Whaun Bentley,LB,7.0,8.333000183105469,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,3.0,25.0,0.0,62.0,3.5,4.0,5.0,33.0,17.0,125.0,0.0,0.0,0.0
22,Jonathan Owens,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,84.0,2.5,0.0,0.0,0.0,17.0,125.0,0.0,0.0,0.0
23,Lavonte David,LB,0.0,8.666999816894531,1.6670000553131104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,26.0,0.0,80.0,10.5,15.0,10.0,22.0,17.0,124.0,0.0,0.0,0.0
24,Christian Kirksey,LB,9.0,8.666999816894531,1.399999976158142,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0,0.0,3.0,26.0,0.0,82.0,8.0,7.0,7.0,22.0,17.0,124.0,0.0,0.0,0.0
25,Devin White,LB,0.0,7.182000160217285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,0.0,5.5,39.5,0.0,73.0,9.0,8.0,8.0,36.0,17.0,124.0,0.0,0.0,0.0
26,Julian Love,S,22.0,9.0,1.7999999523162842,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,9.0,0.0,79.0,3.0,9.0,6.0,18.0,17.0,124.0,0.0,0.0,0.0
27,Logan Wilson,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
28,Richie Grant,S,11.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,70.0,6.0,9.0,3.0,5.0,17.0,123.0,0.0,0.0,0.0
29,Quay Walker,LB,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,1.5,13.5,0.0,75.0,6.0,10.0,5.0,8.0,17.0,121.0,0.0,0.0,0.0
30,Patrick Queen,LB,5.5,4.900000095367432,2.7139999866485596,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,14.0,0.0,5.0,24.5,0.0,79.0,9.5,19.0,9.0,31.0,17.0,117.0,0.0,0.0,0.0
31,Rayshawn Jenkins,S,21.33300018310547,0.0,3.3329999446868896,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,2.0,0.0,1.0,0.0,0.0,73.0,11.0,10.0,3.0,9.0,17.0,116.0,0.0,0.0,0.0
32,Nicholas Morrow,LB,5.0,0.0,2.2730000019073486,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,83.0,13.0,25.0,11.0,18.0,17.0,116.0,0.0,0.0,0.0
33,Derwin James Jr.,S,0.0,8.25,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,4.0,33.0,0.0,64.0,3.5,5.0,5.0,34.0,17.0,115.0,0.0,0.0,0.0
34,Devin Lloyd,LB,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,59.0,4.5,0.0,0.0,0.0,17.0,115.0,0.0,0.0,0.0
35,Ernest Jones,LB,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,66.0,3.0,15.0,4.0,14.0,17.0,114.0,0.0,0.0,0.0
36,Frankie Luvu,LB,33.0,6.571000099182129,2.615000009536743,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,9.0,0.0,7.0,46.0,0.0,76.0,17.0,34.0,19.0,78.0,17.0,111.0,0.0,0.0,0.0
37,Budda Baker,S,27.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,75.0,9.5,4.0,1.0,2.0,17.0,111.0,0.0,0.0,0.0
38,Kyzir White,LB,0.0,4.333000183105469,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,1.5,6.5,0.0,66.0,4.5,1.0,3.0,9.0,17.0,110.0,0.0,0.0,0.0
39,Jalen Thompson,S,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,79.0,2.5,2.0,1.0,2.0,17.0,110.0,0.0,0.0,0.0
40,Demario Davis,LB,4.0,6.385000228881836,2.200000047683716,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,8.0,0.0,6.5,41.5,0.0,54.0,10.0,11.0,10.0,45.0,17.0,109.0,0.0,0.0,0.0
41,Kevin Byard,S,14.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,17.0,108.0,0.0,0.0,0.0
42,L'Jarius Sneed,CB,19.0,8.857000350952148,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,5.0,0.0,3.5,31.0,0.0,75.0,4.5,8.0,5.0,11.0,17.0,108.0,0.0,0.0,0.0
43,Elandon Roberts,LB,0.0,9.555999755859375,2.6670000553131104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.5,43.0,0.0,68.0,9.0,16.0,10.0,55.0,17.0,107.0,0.0,0.0,0.0
44,Mykal Walker,LB,16.5,9.0,4.666999816894531,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,9.0,0.0,56.0,3.0,14.0,4.0,23.0,17.0,107.0,0.0,0.0,0.0
45,Quincy Williams,LB,0.0,7.0,2.4549999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,3.0,21.0,0.0,74.0,14.0,27.0,12.0,26.0,17.0,106.0,0.0,0.0,0.0
46,Grant Delpit,S,9.0,0.0,2.3329999446868896,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,72.0,7.5,7.0,4.0,8.0,17.0,105.0,0.0,0.0,0.0
47,Myles Jack,LB,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,61.0,6.0,5.0,3.0,5.0,17.0,104.0,0.0,0.0,0.0
48,Jamin Davis,LB,0.0,5.0,2.571000099182129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,15.0,0.0,68.0,9.0,18.0,9.0,32.0,17.0,104.0,0.0,0.0,0.0
49,Jaquan Brisker,S,6.0,6.75,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,4.0,27.0,0.0,73.0,6.5,3.0,5.0,29.0,17.0,104.0,0.0,0.0,0.0
50,Adrian Amos,S,26.0,2.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,2.0,0.0,73.0,6.0,15.0,7.0,13.0,17.0,102.0,0.0,0.0,0.0
51,Tremaine Edmunds,LB,4.0,8.0,2.200000047683716,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,3.0,0.0,1.0,8.0,0.0,66.0,8.5,11.0,6.0,17.0,16.0,102.0,0.0,0.0,0.0
52,Chuck Clark,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,61.0,3.5,0.0,0.0,0.0,17.0,101.0,0.0,0.0,0.0
53,John Johnson III,S,0.0,8.0,2.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.5,4.0,0.0,70.0,4.5,9.0,4.0,9.0,17.0,101.0,0.0,0.0,0.0
54,Donovan Wilson,S,0.0,7.0,1.6670000553131104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,0.0,5.0,35.0,0.0,77.0,8.0,5.0,7.0,40.0,17.0,101.0,0.0,0.0,0.0
55,Jerome Baker,LB,0.0,4.875,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,4.0,19.5,0.0,66.0,5.5,10.0,6.0,15.0,17.0,100.0,0.0,0.0,0.0
56,Zaven Collins,LB,30.0,9.0,2.1110000610351562,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,0.0,2.0,18.0,0.0,63.0,12.0,19.0,11.0,29.0,17.0,100.0,0.0,0.0,0.0
57,Matt Milano,LB,28.0,7.666999816894531,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,7.0,0.0,1.5,11.5,0.0,72.0,17.0,33.0,12.0,41.0,16.0,99.0,0.0,0.0,0.0
58,Germaine Pratt,LB,1.5,4.0,2.200000047683716,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,4.0,0.0,50.0,9.5,11.0,6.0,8.0,16.0,99.0,0.0,0.0,0.0
59,Isaiah Simmons,LB,30.5,10.75,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,0.0,4.0,43.0,0.0,68.0,4.5,6.0,5.0,41.0,17.0,99.0,0.0,0.0,0.0
60,Christian Wilkins,DT,0.0,7.0,2.071000099182129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,3.5,24.5,0.0,59.0,17.5,29.0,16.0,40.0,17.0,98.0,0.0,0.0,0.0
61,Talanoa Hufanga,S,15.25,6.0,2.4000000953674316,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,3.0,0.0,2.0,12.0,0.0,66.0,8.0,12.0,5.0,12.0,17.0,97.0,0.0,0.0,0.0
62,Rodney McLeod Jr.,S,13.5,0.0,2.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,59.0,6.0,18.0,8.0,17.0,17.0,96.0,0.0,0.0,0.0
63,De'Vondre Campbell,LB,38.5,0.0,1.6670000553131104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,56.0,5.5,10.0,6.0,7.0,17.0,96.0,0.0,0.0,0.0
64,Minkah Fitzpatrick,S,15.666999816894531,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,56.0,2.5,4.0,1.0,4.0,17.0,96.0,0.0,0.0,0.0
65,DeShon Elliott,S,0.0,0.0,1.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,73.0,5.5,5.0,5.0,8.0,17.0,96.0,0.0,0.0,0.0
66,Jevon Holland,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
67,Kareem Jackson,S,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,3.0,2.0,2.0,17.0,94.0,0.0,0.0,0.0
68,Marcus Epps,S,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,70.0,2.5,6.0,4.0,6.0,17.0,94.0,0.0,0.0,0.0
69,Taylor Rapp,S,9.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,58.0,2.5,6.0,2.0,6.0,17.0,92.0,0.0,0.0,0.0
70,Tyrann Mathieu,S,14.666999816894531,0.0,1.3329999446868896,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,64.0,1.0,4.0,3.0,2.0,17.0,91.0,0.0,0.0,0.0
71,Damar Hamlin,S,0.0,7.666999816894531,2.5999999046325684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.5,11.5,0.0,63.0,5.5,13.0,6.0,15.0,16.0,91.0,0.0,0.0,0.0
72,Taron Johnson,CB,2.0,0.0,1.6670000553131104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,67.0,6.0,10.0,6.0,4.0,16.0,90.0,0.0,0.0,0.0
73,Leighton Vander Esch,LB,0.0,4.0,1.6670000553131104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,54.0,6.0,5.0,4.0,5.0,17.0,90.0,0.0,0.0,0.0
74,Desmond King II,CB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
75,Jordan Whitehead,S,2.5,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,58.0,7.0,6.0,4.0,4.0,17.0,89.0,0.0,0.0,0.0
76,Maxx Crosby,DE,0.0,8.15999984741211,2.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,35.0,0.0,12.5,102.0,0.0,58.0,20.0,27.0,22.0,104.0,17.0,89.0,0.0,0.0,0.0
77,Jalen Ramsey,CB,13.25,8.5,1.3329999446868896,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,2.0,0.0,2.0,17.0,0.0,64.0,4.5,4.0,4.0,11.0,17.0,88.0,0.0,0.0,0.0
78,Jaylon Smith,LB,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,46.0,3.5,6.0,3.0,13.0,14.0,88.0,0.0,0.0,0.0
79,Darrick Forrest,S,0.25,0.0,3.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,7.0,1.0,2.0,17.0,88.0,0.0,0.0,0.0
80,Willie Gay,LB,47.0,3.200000047683716,2.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,4.0,0.0,2.5,8.0,0.0,51.0,8.0,22.0,9.0,24.0,17.0,88.0,0.0,0.0,0.0
81,Charvarius Ward,CB,9.0,0.0,1.6670000553131104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,59.0,4.5,5.0,3.0,1.0,17.0,87.0,0.0,0.0,0.0
82,Malcolm Rodriguez,LB,0.0,8.0,1.8569999933242798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,8.0,0.0,62.0,10.0,13.0,8.0,16.0,17.0,87.0,0.0,0.0,0.0
83,Duron Harmon,S,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,63.0,1.5,0.0,0.0,0.0,17.0,86.0,0.0,0.0,0.0
84,Xavier Woods,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,53.0,2.5,0.0,0.0,0.0,17.0,86.0,0.0,0.0,0.0
85,Nick Scott,S,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,56.0,3.0,1.0,1.0,1.0,17.0,86.0,0.0,0.0,0.0
86,David Long Jr.,LB,2.0,0.0,2.1429998874664307,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,52.0,13.5,15.0,7.0,9.0,17.0,86.0,0.0,0.0,0.0
87,Harrison Smith,S,11.600000381469727,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,1.0,1.0,1.0,17.0,85.0,0.0,0.0,0.0
88,Rasul Douglas,CB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
89,Jaylinn Hawkins,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
90,Roger McCreary,CB,4.0,0.0,3.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,70.0,3.5,7.0,1.0,3.0,17.0,84.0,0.0,0.0,0.0
91,Denzel Perryman,LB,24.0,7.0,3.1540000438690186,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,1.0,7.0,0.0,54.0,9.5,41.0,14.0,32.0,17.0,83.0,0.0,0.0,0.0
92,Justin Reid,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
93,Kamren Curl,S,0.0,0.0,2.1670000553131104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,58.0,5.5,13.0,6.0,10.0,17.0,83.0,0.0,0.0,0.0
94,Mike Edwards,S,34.0,5.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,5.0,0.0,52.0,2.0,3.0,3.0,6.0,17.0,82.0,0.0,0.0,0.0
95,Kerby Joseph,S,17.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,55.0,3.0,0.0,0.0,0.0,17.0,82.0,0.0,0.0,0.0
96,Camryn Bynum,S,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,0.0,17.0,81.0,0.0,0.0,0.0
97,Devin Bush,LB,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,44.0,5.5,2.0,2.0,0.0,17.0,81.0,0.0,0.0,0.0
98,Eddie Jackson,S,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,59.0,2.0,1.0,1.0,1.0,17.0,80.0,0.0,0.0,0.0
99,D.J. Reed,CB,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,63.0,4.5,6.0,1.0,6.0,17.0,80.0,0.0,0.0,0.0
100,Antoine Winfield Jr.,S,15.0,7.25,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,4.0,29.0,0.0,64.0,5.0,15.0,7.0,35.0,17.0,80.0,0.0,0.0,0.0
101,Pete Werner,LB,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,56.0,8.0,6.0,3.0,6.0,17.0,80.0,0.0,0.0,0.0
102,Robert Spillane,LB,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,52.0,7.5,10.0,4.0,9.0,17.0,79.0,0.0,0.0,0.0
103,Deommodore Lenoir,CB,8.0,9.0,2.5999999046325684,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,9.0,0.0,54.0,2.5,13.0,6.0,19.0,17.0,79.0,0.0,0.0,0.0
104,Kaden Elliss,LB,0.0,5.928999900817871,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,7.0,41.5,0.0,43.0,9.0,5.0,7.0,43.0,17.0,78.0,0.0,0.0,0.0
105,Kyle Dugger,S,18.33300018310547,8.0,2.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,0.0,1.0,8.0,0.0,50.0,3.0,11.0,5.0,19.0,17.0,78.0,0.0,0.0,0.0
106,Jayron Kearse,S,2.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,2.0,12.0,0.0,55.0,5.0,10.0,7.0,21.0,17.0,77.0,0.0,0.0,0.0
107,Vonn Bell,S,14.0,6.5,1.7999999523162842,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,4.0,0.0,1.0,6.5,0.0,53.0,4.0,9.0,4.0,6.0,16.0,77.0,0.0,0.0,0.0
108,Bobby McCain,S,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,54.0,2.0,5.0,3.0,3.0,17.0,76.0,0.0,0.0,0.0
109,Kenneth Murray Jr.,LB,16.0,8.0,2.3329999446868896,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,1.0,8.0,0.0,50.0,8.5,14.0,7.0,21.0,17.0,76.0,0.0,0.0,0.0
110,Mike Jackson,CB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
111,Sauce Gardner,CB,9.5,0.0,1.6670000553131104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,51.0,2.0,5.0,3.0,3.0,17.0,75.0,0.0,0.0,0.0
112,Cameron Heyward,DT,0.0,6.90500020980835,2.1670000553131104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,10.5,72.5,0.0,39.0,11.5,13.0,14.0,58.0,17.0,74.0,0.0,0.0,0.0
113,DeForest Buckner,DT,0.0,6.063000202178955,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,8.0,48.5,0.0,44.0,12.0,12.0,11.0,43.0,17.0,74.0,0.0,0.0,0.0
